person_id,age,high_contact,quarantine,age_std
1,39,0,0,-0.1436113557231096
2,58,0,1,1.0929214654577453
3,43,1,0,0.1167113434728598
4,73,1,0,2.0691315874426306
5,68,0,0,1.7437282134476688
6,20,0,0,-1.3801441769039644
7,33,0,1,-0.5340954045170637
8,51,1,1,0.6373567418647987
9,39,1,1,-0.1436113557231096
10,58,0,1,1.0929214654577453
11,48,1,1,0.4421147174678216
12,51,0,0,0.6373567418647987
13,47,0,0,0.3770340426688293
14,26,1,1,-0.9896601281100104
15,73,1,0,2.0691315874426306
16,24,0,0,-1.119821477707995
17,23,0,0,-1.1849021525069874
18,18,0,0,-1.5103055265019492
19,32,0,0,-0.5991760793160561
20,18,1,1,-1.5103055265019492
21,46,0,0,0.3119533678698369
22,39,1,1,-0.1436113557231096
23,72,0,0,2.0040509126436383
24,42,1,1,0.0516306686738674
25,30,0,0,-0.7293374289140407
26,33,0,0,-0.5340954045170637
27,19,0,0,-1.445224851702957
28,20,1,1,-1.3801441769039644
29,43,1,0,0.1167113434728598
30,37,0,1,-0.2737727053210943
31,53,0,0,0.7675180914627834
32,34,0,0,-0.4690147297180713
33,30,0,1,-0.7293374289140407
34,40,0,0,-0.0785306809241172
35,41,0,0,-0.0134500061251248
36,51,0,0,0.6373567418647987
37,68,0,0,1.7437282134476688
38,38,0,0,-0.2086920305221019
39,34,0,0,-0.4690147297180713
40,46,0,1,0.3119533678698369
41,29,1,1,-0.7944181037130331
42,53,1,1,0.7675180914627834
43,65,0,0,1.5484861890506916
44,23,0,0,-1.1849021525069874
45,51,0,0,0.6373567418647987
46,55,0,0,0.8976794410607681
47,65,0,0,1.5484861890506916
48,45,0,1,0.2468726930708445
49,47,0,0,0.3770340426688293
50,59,1,0,1.1580021402567375
51,70,0,0,1.8738895630456531
52,55,0,1,0.8976794410607681
53,50,0,0,0.5722760670658064
54,42,0,0,0.0516306686738674
55,49,0,0,0.507195392266814
56,67,1,0,1.6786475386486763
57,41,1,1,-0.0134500061251248
58,63,0,0,1.418324839452707
59,28,0,0,-0.8594987785120255
60,24,0,0,-1.119821477707995
61,62,0,0,1.3532441646537146
62,32,1,1,-0.5991760793160561
63,19,0,0,-1.445224851702957
64,38,1,0,-0.2086920305221019
65,37,0,1,-0.2737727053210943
66,62,0,0,1.3532441646537146
67,56,0,0,0.9627601158597604
